logical_tags,org_tags,cue_id,cuepool_name
i sral4-5top,spatialrotation i,7546,Spatial Rotation - tops 4-5
b sral4-5top,spatialrotation b,7547,Spatial Rotation - tops 4-5
j sral4-5top,spatialrotation j,7548,Spatial Rotation - tops 4-5
k sral4-5top,spatialrotation k,7549,Spatial Rotation - tops 4-5
j sral6-7top,spatialrotation j,7550,Spatial Rotation - tops 6-7
d sral6-7top,spatialrotation d,7551,Spatial Rotation - tops 6-7
g sral6-7top,spatialrotation g,7552,Spatial Rotation - tops 6-7
h sral6-7top,spatialrotation h,7553,Spatial Rotation - tops 6-7
n sral6-7top,spatialrotation n,7554,Spatial Rotation - tops 6-7
a sral6-7top,spatialrotation a,7555,Spatial Rotation - tops 6-7
f sral6-7top,spatialrotation f,7556,Spatial Rotation - tops 6-7
i sral6-7top,spatialrotation i,7557,Spatial Rotation - tops 6-7
e sral6-7top,spatialrotation e,7558,Spatial Rotation - tops 6-7
b sral6-7top,spatialrotation b,7559,Spatial Rotation - tops 6-7
m sral6-7top,spatialrotation m,7560,Spatial Rotation - tops 6-7
k sral6-7top,spatialrotation k,7561,Spatial Rotation - tops 6-7
l sral6-7top,spatialrotation l,7562,Spatial Rotation - tops 6-7
c sral6-7top,spatialrotation c,7563,Spatial Rotation - tops 6-7
a sral8-9top,spatialrotation a,7570,Spatial Rotation - tops 8-9
b sral8-9top,spatialrotation b,7571,Spatial Rotation - tops 8-9
c sral8-9top,spatialrotation c,7565,Spatial Rotation - tops 8-9
d sral8-9top,spatialrotation d,7573,Spatial Rotation - tops 8-9
e sral8-9top,spatialrotation e,7568,Spatial Rotation - tops 8-9
f sral8-9top,spatialrotation f,7572,Spatial Rotation - tops 8-9
g sral8-9top,spatialrotation g,7574,Spatial Rotation - tops 8-9
h sral8-9top,spatialrotation h,7566,Spatial Rotation - tops 8-9
i sral8-9top,spatialrotation i,7569,Spatial Rotation - tops 8-9
j sral8-9top,spatialrotation j,7567,Spatial Rotation - tops 8-9
k sral8-9top,spatialrotation k,7564,Spatial Rotation - tops 8-9
